monitoringSiteIdentifier,monitoringSiteIdentifierScheme,phenomenonTimeReferenceYear,observedPropertyDeterminandCode,observedPropertyDeterminandLabel,resultEmissionsUom,resultEmissionsValue,procedureEstimateDetail,resultObservationStatus,Remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,metadata_statements,UID
SE683661-156793,euMonitoringSiteCode,2017,CAS_14265-44-2,Phosphate,t/a,0.341,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4135
SE683661-156793,euMonitoringSiteCode,2018,CAS_14265-44-2,Phosphate,t/a,0.747,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4156
SE683661-156793,euMonitoringSiteCode,2019,CAS_14265-44-2,Phosphate,t/a,0.501,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4177
SE683661-156793,euMonitoringSiteCode,2020,CAS_14265-44-2,Phosphate,t/a,0.592,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4198
SE733351-187900,eionetMonitoringSiteCode,2014,CAS_14265-44-2,Phosphate,t/a,62.7,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4219
SE733351-187900,eionetMonitoringSiteCode,2015,CAS_14265-44-2,Phosphate,t/a,77.6,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4240
SE653621-125394,euMonitoringSiteCode,2018,CAS_14265-44-2,Phosphate,t/a,0.553,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),3421
SE653621-125394,euMonitoringSiteCode,2019,CAS_14265-44-2,Phosphate,t/a,0.958,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),3442
SE653621-125394,euMonitoringSiteCode,2020,CAS_14265-44-2,Phosphate,t/a,0.928,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),3463
SE658065-162841,eionetMonitoringSiteCode,2014,CAS_14265-44-2,Phosphate,t/a,104,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),3484
SE658065-162841,eionetMonitoringSiteCode,2015,CAS_14265-44-2,Phosphate,t/a,83.6,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),3505
SE658065-162841,eionetMonitoringSiteCode,2016,CAS_14265-44-2,Phosphate,t/a,45.3,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),3526
SE658065-162841,eionetMonitoringSiteCode,2017,CAS_14265-44-2,Phosphate,t/a,50.1,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),3547
SE658065-162841,eionetMonitoringSiteCode,2018,CAS_14265-44-2,Phosphate,t/a,67.1,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),3568
SE658065-162841,eionetMonitoringSiteCode,2019,CAS_14265-44-2,Phosphate,t/a,68.2,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),3589
SE658065-162841,eionetMonitoringSiteCode,2020,CAS_14265-44-2,Phosphate,t/a,65.7,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),3610
SE671742-158974,euMonitoringSiteCode,2014,CAS_14265-44-2,Phosphate,t/a,40.7,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),3631
SE671742-158974,euMonitoringSiteCode,2015,CAS_14265-44-2,Phosphate,t/a,52.5,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),3652
