Number,Data
903,Rios do Norte de Média-Grande Dimensão
904,Rios do Norte de Pequena Dimensão
905,Rios do Sul de Média-Grande Dimensão
906,Rios do Sul de Pequena Dimensão
907,Rk
908,Rk_172
909,Rk_173
910,Rk_7
911,Rzg
912,Rzg_144
913,S(K2V)
914,"SA - 1,25"
915,SA - I-II A
916,SA - ot
917,SVh
918,Sh
919,Sk
920,Sk-Po
921,"South of L. norrlandicus, Water colour<30 mg Pt/l"
922,"South of L. norrlandicus, Water colour>30 mg Pt/l"
923,"South of Limes norrlandicus, colour<30 mg Pt/l"
924,"South of Limes norrlandicus, colour>30 mg Pt/l"
925,Ssa
926,St
927,Sul
928,TG10-15/4
929,TG11/3-21
930,TG14/1
931,TG14/3-11
932,TG15
933,TG22/10
934,TG5/2
935,TG6-7/2
936,TG6/1-8
937,TG9
938,TG9/21
939,TMV (1B)
940,TMV (2B)
941,TP1
942,TP10
943,TP11
944,TP12-A
945,TP12-B
946,TP13
947,TP14
948,TP15
949,TP17
950,TP18
951,TP2
952,TP20
953,TP21
954,TP22
955,TP3
956,TP4
957,TP5
958,TP6
959,TP7
960,TP9
961,TTGL
962,"UZA - 1,5"
963,"UZA - 1,75"
964,UZA - I-II A
965,UZA - I-II B
966,UZA - om
967,UZA - ot
968,V1(K3V)
969,V3(P1V)
970,"VAV - 1,75"
971,VAV - 2
972,VAV - H1
973,VAV - II
974,VAV - mt
975,Vh
976,artificial
977,general
978,norwegian type 1
979,norwegian type 13
980,norwegian type 15
981,norwegian type 4
982,norwegian type 6
983,norwegian type 8
984,norwegian type 9
